Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Sphere,"[-0.1285759727693677, 0.3389581194612411, 0.36539256301723755, 0.23339817239336416, -0.49069954682292594, 0.2168064427785263, 0.048127175789176926, -0.4073775183040699, 0.5255064819110852, -0.06924886967159982]",1.0564270343400468,5.265693187713623,10,30,"(-5, 5)",500,0.4,0.5,1.5
Sphere,"[0.0009473388739240562, -0.0018656110036078411, -0.0021636322899769257, 0.00011515649824705163, 0.00446306846872272, 0.005565799507257808, -0.0015061100180535339, 0.0028906820567956735, -0.0030396747616090077, 0.002453389814009806]",8.585277975145944e-05,0.37668633460998535,10,30,"(-5, 5)",500,0.9,0.5,1.5
Sphere,"[0.010440862197670072, 0.018680256826245047, -0.012155087947595379, 0.0007571644403929713, -5.6536603790263354e-05, 0.007879923824585331, -0.002524374740656425, 0.003822724044098189, -0.0036707154419100946, -0.0009506260391059513]",0.0007037429840679144,1.8366148471832275,10,50,"(-5, 5)",200,0.65,0.5,1.5
Sphere,"[0.04199247061968097, -0.14252767368055155, -0.5322010104606572, -0.06655457227980018, 0.2649464331420073, -0.1462690629783418, -0.5569123651989027, 0.017610678747183195, 0.01545291577113361, -0.4627159825977562]",0.9261425748740696,3.6970927715301514,10,30,"(-5, 5)",500,0.4,0.5,0.8999999999999999
Sphere,"[-3.82696212589899e-05, -7.865769805499575e-05, 2.123062788859377e-05, 4.56080453310037e-05, 8.290626099852352e-05, 3.4184729614414726e-05, -3.7684635252019757e-05, -3.098437315349881e-05, -3.65178844738207e-05, -5.1397737966653006e-05]",2.457992105396725e-08,2.4890029430389404,10,30,"(-5, 5)",500,0.9,0.5,0.8999999999999999
Sphere,"[-0.0018404055505202935, 0.0519710036214648, -0.023054530219267955, -0.07493044420761324, 0.006562475523280148, -0.05033211189422991, -0.0021701560810571743, -0.010884216268177566, 0.017446226820957353, 0.015809431067870097]",0.012104327397687645,4.836751461029053,10,50,"(-5, 5)",200,0.65,0.5,0.8999999999999999
Sphere,"[0.37316084794765036, -0.48533491487935854, -0.15575199747434695, -0.16292566837436548, -0.1323856795225243, -0.322719058060597, 0.2742094726129932, -0.111889099718258, -0.2975535331168873, -0.44101720591037996]",0.9180203012384048,2.6747725009918213,10,30,"(-5, 5)",500,0.4,0.5,0.3
Sphere,"[-0.0001214181248295475, 2.8518927110189872e-05, 1.1962013628184103e-05, 0.0001658829689874198, 0.0005533245241891943, -3.2874342247796195e-05, 0.0001504192387523691, 2.6549720944242472e-05, -0.00027039191661643844, -0.0003332982944689356]",5.579950675946573e-07,4.642127990722656,10,30,"(-5, 5)",500,0.9,0.5,0.3
Sphere,"[-0.315983716414994, 0.1183952856743096, -0.4843470867684265, -0.3853382332463824, 0.340349126025514, -0.486075841791338, 0.5558526143379594, -0.5348412575769323, 0.6013548385505043, 0.42035967880669534]",1.9824052598187165,0.8567366600036621,10,30,"(-5, 5)",200,0.4,1.0,0.3
Sphere,"[0.16263040032278764, -0.06174497100005133, 0.012141534581989853, 0.3266942188610606, -0.08863529277081812, 0.16727854545912962, 0.12696992965499415, 0.030177700477484352, -0.16732665554380782, 0.08743248173749192]",0.2256506501086382,4.263841390609741,10,50,"(-5, 5)",200,0.65,0.5,0.3
