Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Sphere,"[-0.010949814539286793, -0.1027745659104196, 0.15846649413649685, 0.015273404311952753, -0.09327068409945707, -0.0353908265297123, 0.05175261101313078, -0.011130817011139984, -0.035063879247653425, -0.13369601080653168]",0.0678856743620318,0.14494585990905762,10,30,"(-5, 5)",200,0.65,0.5,1.5
Sphere,"[0.1649703433721197, 0.288083003552701, 0.04320398306054236, 0.3346593934852615, 0.10886568712558253, -0.05948130018111992, 0.3474373155437572, -0.008555510150866728, 0.4771443397710944, -0.2812925639719808]",0.6670384003407595,0.12451767921447754,10,30,"(-5, 5)",200,0.65,1.0,0.3
Sphere,"[0.013763213626864524, 0.10663388109543888, -0.13740137658522628, -0.014532070240243798, -0.16686834922282412, -0.3958340839115632, -0.10857395516331587, 0.17965138157420338, 0.016002843269432673, -0.09929333416363448]",0.26935837780161725,0.12449932098388672,10,30,"(-5, 5)",200,0.65,1.0,0.8999999999999999
Sphere,"[0.024272957760544243, 0.23564278511094902, -0.16472228115653692, -0.05950750584787046, -0.2251273020035827, -0.08381289432925121, 0.03586548576728494, 0.019164760210287846, -0.0568755976110249, -0.08945694873324068]",0.15738917556171017,0.1410384178161621,10,30,"(-5, 5)",200,0.65,1.0,1.5
Sphere,"[0.014821154467035838, -0.2809737197337714, 0.23527117048950788, -0.04439095766879031, 0.010727617522252918, -0.10196911672808, 0.15527557265460595, 0.10119586112404466, -0.0030624319227037897, 0.0873321064997961]",0.1889891422178573,0.14002513885498047,10,30,"(-5, 5)",200,0.65,1.5,0.3
Sphere,"[0.028766307149333606, 0.008758287778076962, 0.08846327347893639, -0.033082204326489645, 0.03528682628468566, -0.0958459066590947, 0.07133283053790836, 0.008960540928282081, 0.014813867837949414, -0.04358222057337178]",0.027543513598775222,0.12394595146179199,10,30,"(-5, 5)",200,0.65,1.5,0.8999999999999999
Sphere,"[-0.20596539960526408, -0.07501640876474834, 0.09824808974672812, -0.06469439371561407, 0.07378595855739756, 0.005231501268879218, -0.13836218825360458, -0.03350474625916095, 0.00013698575338601064, 0.1502932478134684]",0.11021373768502216,0.12180757522583008,10,30,"(-5, 5)",200,0.65,1.5,1.5
Sphere,"[0.00039552322168071036, 0.0005384396150395512, -0.00030662342516760523, -0.0010362851921936972, 0.00030518037308138854, 1.702536705358713e-05, -0.0003208995597938066, -0.001020578681014191, -0.00024320667272038877, -0.000326348843733037]",3.0178961106696126e-06,0.14022469520568848,10,30,"(-5, 5)",200,0.9,0.5,0.3
Sphere,"[-0.006304345811990717, -0.008853565475288778, 0.0036270949793150813, 0.0018913864847820011, -0.006394540839167835, 9.613318382764927e-05, 0.003114714871052639, -0.004099355171527347, 0.011841059121339807, -0.002360501366335019]",0.0003480517620648157,0.11804485321044922,10,30,"(-5, 5)",200,0.9,0.5,0.8999999999999999
Sphere,"[0.03389541376852112, 0.0013819989808654953, 0.041693160922100514, 0.02977835390032238, 0.02609947046398972, 0.07416635712751245, 0.035875031554991464, 0.006123266860634913, 0.037884568025188255, -0.011182064237946876]",0.012842501253672638,0.14061880111694336,10,30,"(-5, 5)",200,0.9,0.5,1.5
Sphere,"[-0.014075747616206388, -0.003464114041261131, -0.002532312048919534, -0.008838500618748262, 0.0003586476704985998, -0.010562584877541734, -0.00560659952930178, 0.0035025833618130406, 0.00214997589105354, 0.0041521254196739705]",0.00047191987231477684,0.11641383171081543,10,30,"(-5, 5)",200,0.9,1.0,0.3
Sphere,"[-0.045277572417838335, 0.010504683099310312, -0.031663427710432734, 0.014299965280429235, -0.007890031965824421, 0.048708636804205174, 0.0398751622398513, -0.029365656941396076, -0.013154921030998364, 0.009214912072315222]",0.008512589419297042,0.13500690460205078,10,30,"(-5, 5)",200,0.9,1.0,0.8999999999999999
Sphere,"[-0.05126261625766605, 0.03129102797305904, 0.01368936026797829, -0.021138174686435668, -0.018679824089155708, 0.02449488789300122, -0.02449593394116431, -0.02649020285179047, 0.03780019181492994, -7.250328573638748e-05]",0.007920782016455597,0.13069558143615723,10,30,"(-5, 5)",200,0.9,1.0,1.5
