Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Sphere,"[-0.39322663140926417, -0.4003554254266774, -0.3321480371642907, -0.2680697270986554, -0.12019360057470274, 0.36350330914236917, 0.15309468688290506, 0.3786404352059718, 0.5570214863629737, 0.22574720377418592]",1.1717178034800784,1.5532522201538086,10,30,"(-5, 5)",500,0.4,1.0,0.8999999999999999
Sphere,"[0.5633159338004279, 0.4826238129580743, 0.6102018267433794, 0.33219522379201577, 0.02596053710743911, 0.517679741981898, -0.3329881680139803, -0.11445360272949201, -0.2783013635014205, 0.97059290919539]",2.4450997784463615,1.6042590141296387,10,30,"(-5, 5)",500,0.4,1.0,0.3
Sphere,"[0.3195034086791664, 0.5894503273127404, 0.8167824958940173, 0.8431562554709864, 0.26952652772411867, 0.5503119711706221, 0.012385349943284047, -0.01695991668995698, -0.12419983005226302, -0.8568948513287915]",2.9532034677122843,1.5812654495239258,10,30,"(-5, 5)",500,0.4,1.0,1.5
Sphere,"[0.6690833135187405, 0.2273443306058654, 0.5851508054930157, 0.26156012599223183, 0.13570525013767742, 0.4611264212024994, -0.16823300882590808, 0.03570209147555615, -0.29705784421431025, 1.1247414763519108]",2.5240903170418743,1.5922653675079346,10,30,"(-5, 5)",500,0.4,1.5,0.3
Sphere,"[-0.5221732902950043, -0.3700033814250196, -0.05352619827348954, -0.30035810860417, 0.12002115684315447, 0.3143084055956536, 0.48480032543474383, 0.056855522293117904, 0.4556631473016841, 0.5940039425112225]",1.4145758400720059,1.5892722606658936,10,30,"(-5, 5)",500,0.4,1.5,0.8999999999999999
Sphere,"[-0.07500879264529353, -0.030957210321087142, 0.02157273105597285, -0.013624074791168433, -0.14817555754909323, 0.18624245702694944, 0.11949033554060683, -0.14022960840514717, -0.07124009443571189, -0.04005645079813882]",0.10449986830533767,1.5844957828521729,10,30,"(-5, 5)",500,0.65,0.5,0.3
Sphere,"[0.5468672667267886, -0.13179810090367286, 0.22491962883409708, 0.4006504010951526, -0.08969773321198543, -0.04546427880284304, 0.5879607888956305, 0.26015514869558437, 0.28850203333400504, -0.349275829848895]",1.1562624333681324,1.665666103363037,10,30,"(-5, 5)",500,0.4,1.5,1.5
Sphere,"[0.0068751509899117125, -0.06782191551979186, -0.03339494653809754, 0.042484640378002335, -0.1431165489823558, -0.06721496020102347, 0.23517752668202038, 0.033863602141428154, 0.1713024610982192, 0.0034518465713904334]",0.11837910554500732,1.6396815776824951,10,30,"(-5, 5)",500,0.65,0.5,0.8999999999999999
Sphere,"[0.1711980845129529, -0.12099088969841841, 0.14320194062020108, 0.05807683920060661, 0.06417162413568879, -0.08473223269702067, 0.00721067439694086, 0.12490103122781979, 0.1776494434417843, -0.10173281924466328]",0.13668599587555247,1.6101539134979248,10,30,"(-5, 5)",500,0.65,0.5,1.5
Sphere,"[-0.11353289319407653, 0.06445442510366815, 0.2792644331604901, -0.030938439770608072, -0.08522861212072594, 0.04591285556923976, 0.24078546089465652, 0.029890046630056736, -0.22958312586584578, 0.11750675564671159]",0.23074911043764623,1.6736783981323242,10,30,"(-5, 5)",500,0.65,1.0,0.3
Sphere,"[0.04053345387849728, -0.006276417135027615, -0.05020234716635113, -0.014570172682479343, -0.008305732120074998, -0.03008352243677156, 0.009500894841859555, -0.044935057801512884, 0.010663772461449327, -0.0017655837396280537]",0.00761518314810801,1.6886866092681885,10,30,"(-5, 5)",500,0.65,1.0,0.8999999999999999
Sphere,"[-0.01206247520761361, -0.0123294537743479, 0.0062682614176595925, -0.03370267224398724, -0.020858339235474657, -0.01929060620654152, -0.018719541929956004, 0.012334205510795369, 0.0470858687030223, -0.004451819516772319]",0.005019329363749908,1.7066864967346191,10,30,"(-5, 5)",500,0.65,1.0,1.5
Sphere,"[0.5844113445693303, 0.04992114742787259, 0.06370900039632947, -0.003920782048876036, 0.08691058429751904, -0.10010388319515999, -0.0836397343006922, 0.28408692373694533, 0.23596372346207603, -0.5277338710484396]",0.787560089812978,1.6566791534423828,10,30,"(-5, 5)",500,0.65,1.5,0.3
Sphere,"[-0.0012691729656645512, -0.027065821437009415, 0.002021331827529813, 0.030752802622957907, 0.028130462982720865, 0.055551161945565176, 0.07172793628770308, 0.003284934624926145, 0.034750880827720175, -0.015211936641567786]",0.012155959056997394,1.5299701690673828,10,30,"(-5, 5)",500,0.65,1.5,1.5
Sphere,"[-0.011134896532341615, -0.04706212521386837, 0.12249482846184796, -0.03608740330778532, -0.03962497786558535, 0.0596111174291259, 0.08526518534986792, 0.018824115628952778, -0.07589586988573815, -0.056760172112342695]",0.04037613678572043,1.5791404247283936,10,30,"(-5, 5)",500,0.65,1.5,0.8999999999999999
Sphere,"[-0.0005027544595463941, -0.00022533591345271135, 0.0003464599240315625, 0.00019516968206388874, -0.00029558380253809905, 0.00028872847524462683, -0.0004183430091247256, 0.000386471780523003, -0.00024951717047906467, 0.0005995773979349649]",1.3785211058846916e-06,1.5279629230499268,10,30,"(-5, 5)",500,0.9,0.5,0.3
Sphere,"[5.165437231798102e-05, 7.40647992218274e-05, 1.7427922129218173e-06, 5.39501604826081e-06, -4.465847777879082e-05, 4.0211783512049415e-05, -9.375251000611207e-05, 1.2961151845417252e-06, 1.4261738081427801e-05, 4.431047468902656e-06]",2.0811523758723964e-08,1.5229620933532715,10,30,"(-5, 5)",500,0.9,0.5,0.8999999999999999
Sphere,"[0.00047207492283962834, -0.0005396817476057401, 0.000828739483876061, -0.0007686684236013157, 0.0009856211455973153, -0.0009782339812041585, -0.0010425675469317812, 0.002086923454927675, -0.002862955941218157, -0.0012742512491790907]",1.898259172771425e-05,1.52396559715271,10,30,"(-5, 5)",500,0.9,0.5,1.5
Sphere,"[-0.0010346911834582875, -0.007352955799476112, -0.0022569042460113303, -0.0018551602789116056, 0.005585371957694034, 0.006428818218473423, -0.000717688097213713, 0.002725299066756317, 7.232318130917947e-06, -0.00023343173574185284]",0.00014419473875208383,1.563952922821045,10,30,"(-5, 5)",500,0.9,1.0,0.3
Sphere,"[3.426360910938945e-05, 9.638990710235235e-05, 2.552196300447906e-05, 0.00010194842782334092, 6.993299027233258e-06, 0.00011568135343817514, 0.0001878041785187054, -1.1049392200992361e-05, 4.9294883677167444e-05, -6.210105834230525e-05]",7.661996893730338e-08,1.5414786338806152,10,30,"(-5, 5)",500,0.9,1.0,0.8999999999999999
Sphere,"[-0.003011472644197921, 0.0007184664295205633, -0.0028653933352699454, 0.007168522110873296, -0.006199063836859954, 0.0008488440908714287, -0.008941543312335081, -0.007417462977652387, 0.00034611526918790073, -0.002504061578425236]",0.00024969235246037993,1.513946533203125,10,30,"(-5, 5)",500,0.9,1.0,1.5
Sphere,"[-0.3630002235042308, 0.1122096953069694, 0.09915498807575923, 0.21101866094759605, -0.499062194027262, 0.4287562788943756, 0.056268588670177117, -0.28037392840241165, 0.20814682584011693, 0.601042935824123]",1.1179691907222118,1.0291717052459717,10,50,"(-5, 5)",200,0.4,0.5,0.3
Sphere,"[-0.0367033090092363, -0.012697167884144333, 0.17470208156664987, 0.14306953846812911, -0.09038516529254716, -0.07911821240441712, -0.11189014118869418, 0.006598830409464585, -0.012518815443718155, -0.13455607769126418]",0.09775223778651122,1.0709137916564941,10,50,"(-5, 5)",200,0.4,0.5,0.8999999999999999
Sphere,"[0.12521998864739659, 0.13156234580317758, 0.32481795872427977, 0.16807812928050075, -0.12324350120312601, -0.10130180233041121, 0.07503704230888866, -0.411358063925998, 0.19659669306793487, -0.2470951908932015]",0.46674898354973104,1.0343844890594482,10,50,"(-5, 5)",200,0.4,1.0,0.3
Sphere,"[0.2024686059698489, -0.02229687289399698, 0.05760755703726358, -0.011768281108820998, 0.26382647917846785, 0.07463385566538934, -0.28423081373054054, -0.07900427362274652, -3.852634231203143e-05, -0.05027946943316438]",0.2096792907948141,1.071911096572876,10,50,"(-5, 5)",200,0.4,0.5,1.5
Sphere,"[-0.08316094616919177, 0.0546104943380103, -0.22890904327425618, 0.2364720767974846, 0.10027234593998276, 0.1878852010788761, -0.318570497425097, 0.07729821527566368, -0.21462369103491136, 0.17638679322063572]",0.3482096398925901,1.0859158039093018,10,50,"(-5, 5)",200,0.4,1.0,0.8999999999999999
Sphere,"[-0.005346663394134218, -0.0017778093817706075, -0.00013475407648605052, -0.00014352762638293666, 0.0042985239867496415, 0.0011641954890379402, 0.0027531945592165524, -0.0021102602623382827, 0.0013624055070903657, -0.006090342775483557]",0.00010260053663444806,1.5135555267333984,10,30,"(-5, 5)",500,0.9,1.5,0.3
