Function,Best Position,Best Value,Execution Time,Dimensions,Num Particles,Bounds,Max Iterations,Inertia (w),Cognitive (c1),Social (c2)
Ackley,"[-1.8704562771441429, 0.05597028910873484, 1.0124034118046707, 1.9191537173266215, 0.006188021598299116, -1.90640457548796, 0.9219725604758978, -0.07291853545861691, -1.9424454080240836, -1.0315366887674766]",4.906834065738405,0.20728635787963867,10,30,"(-32.768, 32.768)",200,0.65,1.0,0.3
Ackley,"[0.9618652178705732, -1.9102029033231627, -1.1033848531624935, 0.9394628408621585, 1.9529533760660278, 1.064886486318727, -2.847093415499588, -0.2415541818104018, 0.014308296470346945, 1.824063458733712]",5.847847359752642,0.23095035552978516,10,30,"(-32.768, 32.768)",200,0.65,1.0,0.8999999999999999
Ackley,"[-1.9306352236221795, -1.91966684481455, -0.9429349627417257, -0.9704372252258336, 0.022374933167150366, 0.007347272941157115, -0.9378987423660198, -0.9261964477588125, -1.007256551473362, 0.9525663275642033]",4.206358905025134,0.2350630760192871,10,30,"(-32.768, 32.768)",200,0.65,1.0,1.5
Ackley,"[-0.9505949613223533, -4.8711107728134335, -4.098564539163059, -2.0593627339879874, 4.067255406681632, -3.058549629152325, 2.005029027682905, -2.9224712970000173, 2.980910296733888, -3.9755521132426406]",9.895234979631523,0.23613882064819336,10,30,"(-32.768, 32.768)",200,0.65,1.5,0.3
Ackley,"[-3.979509732450252, -2.1004620760213153, 1.0398523726954803, 0.14990651847868164, 0.03360421144207647, 2.0105155330260307, -0.8992239196346944, -0.0025027350812447387, 0.9563945989852181, 3.0027516235393445]",6.559202285341968,0.24963116645812988,10,30,"(-32.768, 32.768)",200,0.65,1.5,0.8999999999999999
Ackley,"[-4.948056184354961, 1.979212896510031, -1.0174262965320924, -0.06317644193546822, -0.9840081775443617, -1.964244492539426, 2.92299876277527, -2.917611971891751, 2.025765013698974, -1.9977572000418036]",7.832467991513592,0.24831080436706543,10,30,"(-32.768, 32.768)",200,0.65,1.5,1.5
Ackley,"[-0.01072182856454107, -2.9381390552720457, -0.0036232918067684848, 0.9722815675972302, 1.9733904119676458, 0.9989609668380293, -0.9729016522985316, -1.9570698239818167, -1.9634541912811083, -0.9885956492483121]",5.3862079089278545,0.2548975944519043,10,30,"(-32.768, 32.768)",200,0.9,0.5,0.3
Ackley,"[-0.9940972854279204, 0.9415871039684663, 0.017653532437644406, 0.9475337585198791, 1.0102628522741375, 0.9924893941950896, 0.9685438338701758, 0.9528741636208271, 1.901417292713671, 0.9874773910526216]",3.9194898622309933,0.22327494621276855,10,30,"(-32.768, 32.768)",200,0.9,0.5,0.8999999999999999
Ackley,"[0.07483987812996844, 0.041299861280526914, -0.02704931900998145, 0.12449382541635322, -0.9221562195853782, -0.0011561079043726358, -0.9644527597017007, 0.06819054058769551, 0.028601262982165726, 1.9929284341073632]",3.0043625417999533,0.2382960319519043,10,30,"(-32.768, 32.768)",200,0.9,0.5,1.5
Ackley,"[0.004255027761920106, 0.00027208494579204735, 0.030040598583977944, 0.9175576387320339, -0.004554147738183332, 0.011038874667138486, 0.00481694139638291, 0.9300439934461976, -0.9376920065590243, -0.002193469349196637]",2.0210333712902337,0.31474947929382324,10,30,"(-32.768, 32.768)",200,0.9,1.0,0.3
